ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Benzi,Sagart_ID
Bantawa-336_themosquito-1,33982,Bantawa,336_themosquito,koŋkoŋma,koŋkoŋma,k o ŋ k o ŋ m a,,Jongens2009,,,^k o ŋ k o ŋ m a$,default,,33982
Bantawa-131_themother-1,33983,Bantawa,131_themother,ma,ma,m a,,Jongens2009,,,^m a$,default,,33983
Bantawa-132_themountain-1,33984,Bantawa,132_themountain,comcuri,comcuri,c o m c u r i,,Jongens2009,,,^c o m c u r i$,default,,33984
Bantawa-133_themouseorrat-1,33985,Bantawa,133_themouseorrat,cɨkyɨ,cɨkyɨ,c ɨ k y ɨ,,Jongens2009,,,^c ɨ k y ɨ$,default,,33985
Bantawa-134_themouth-1,33986,Bantawa,134_themouth,do,do,d o,,Jongens2009,,,^d o$,default,,33986
Bantawa-337_themud-1,33987,Bantawa,337_themud,bakʰa,bakʰa,b a kʰ a,,Jongens2009,,,^b a kʰ a$,default,,33987
Bantawa-338_thenailfingernailorclaw-1,33988,Bantawa,338_thenailfingernailorclaw,tumbulik,tumbulik,t u m b u l i k,,Jongens2009,,,^t u m b u l i k$,default,,33988
Bantawa-137_thename-1,33989,Bantawa,137_thename,nɨŋ,nɨŋ,n ɨ ŋ,,Jongens2009,,,^n ɨ ŋ$,default,,33989
Bantawa-140_theneck-1,33990,Bantawa,140_theneck,pot,pot,p o t,,Jongens2009,,,^p o t$,default,,33990
Bantawa-141_theneedleforsewing-1,33991,Bantawa,141_theneedleforsewing,lupmit,lupmit,l u p m i t,,Jongens2009,,,^l u p m i t$,default,,33991
Bantawa-146_thenose-1,33994,Bantawa,146_thenose,nabu,nabu,n a b u,,Jongens2009,,,^n a b u$,default,,33994
Bantawa-151_thepig-1,33997,Bantawa,151_thepig,bʰak,bʰak,bʱ a k,,Jongens2009,,,^bʰ a k$,default,,33997
Bantawa-156_therain-1,34002,Bantawa,156_therain,wa,wa,w a,,Jongens2009,,,^w a$,default,,34002
Bantawa-344_therainbow-1,34003,Bantawa,344_therainbow,nakɨmaŋ,nakɨmaŋ,n a k ɨ m a ŋ,,Jongens2009,,,^n a k ɨ m a ŋ$,default,,34003
Bantawa-345_thericeplant-1,34005,Bantawa,345_thericeplant,kaya,kaya,k a y a,,Jongens2009,,,^k a y a$,default,,34005
Bantawa-162_theriver-1,34007,Bantawa,162_theriver,hoŋku,hoŋku,h o ŋ k u,,Jongens2009,,,^h o ŋ k u$,default,,34007
Bantawa-162_theriver-2,34008,Bantawa,162_theriver,yaŋwama,yaŋwama,y a ŋ w a m a,,Jongens2009,,,^y a ŋw a m a$,default,,34008
Bantawa-163_theroad-1,34009,Bantawa,163_theroad,lam,lam,l a m,,Jongens2009,,,^l a m$,default,,34009
Bantawa-347_theroot-1,34010,Bantawa,347_theroot,b_en,b_en,b _ e n,,Jongens2009,,,^b _ e n$,default,,34010
Bantawa-165_therope-1,34011,Bantawa,165_therope,hatdeuri,hatdeuri,h a t d e u r i,,Jongens2009,,,^h a t d e u r i$,default,,34011
Bantawa-165_therope-2,34012,Bantawa,165_therope,makyɨ,makyɨ,m a k y ɨ,,Jongens2009,,,^m a k y ɨ$,default,,34012
Bantawa-348_thesalt-1,34015,Bantawa,348_thesalt,yum,yum,y u m,,Jongens2009,,,^y u m$,default,,34015
Bantawa-170_thesand-1,34017,Bantawa,170_thesand,bakʰa,bakʰa,b a kʰ a,,Jongens2009,,,^b a kʰ a$,default,,34017
Bantawa-349_thesea-1,34020,Bantawa,349_thesea,yaŋwama,yaŋwama,y a ŋ w a m a,,Jongens2009,,,^y a ŋw a m a$,default,,34020
Bantawa-174_theseed-1,34022,Bantawa,174_theseed,luwa,luwa,l u w a,,Jongens2009,,,^l u w a$,default,,34022
Bantawa-177_thesheep-1,34025,Bantawa,177_thesheep,bʰepsa,bʰepsa,bʱ e p s a,,Jongens2009,,,^bʰ e ps a$,default,,34025
Bantawa-177_thesheep-2,34026,Bantawa,177_thesheep,mekʰara,mekʰara,m e kʰ a r a,,Jongens2009,,,^m e kʰ a r a$,default,,34026
Bantawa-250_theshit-1,34091,Bantawa,250_theshit,kʰɨ,kʰɨ,kʰ ɨ,,Jongens2009,,,^kʰ ɨ$,default,,34091
Bantawa-180_theshoulder-1,34028,Bantawa,180_theshoulder,bʰaktaŋ,bʰaktaŋ,bʱ a k t a ŋ,,Jongens2009,,,^bʰ a k t a ŋ$,default,,34028
Bantawa-182_thesickle-1,34029,Bantawa,182_thesickle,kombi,kombi,k o m b i,,Jongens2009,,,^k o m b i$,default,,34029
Bantawa-185_theskin-1,34032,Bantawa,185_theskin,hokwa,hokwa,h o kʷ a,,Jongens2009,,,^h o kw a$,default,,34032
Bantawa-186_thesky-1,34033,Bantawa,186_thesky,ninama,ninama,n i n a m a,,Jongens2009,,,^n i n a m a$,default,,34033
Bantawa-190_thesmoke-1,34037,Bantawa,190_thesmoke,tuŋkʰu,tuŋkʰu,t u ŋ kʰ u,,Jongens2009,,,^t u ŋ kʰ u$,default,,34037
Bantawa-192_thesnake-1,34038,Bantawa,192_thesnake,pɨ,pɨ,p ɨ,,Jongens2009,,,^p ɨ$,default,,34038
Bantawa-193_thesnow-1,34039,Bantawa,193_thesnow,cuncurukwa,cuncurukwa,c u n c u r u kʷ a,,Jongens2009,,,^c u n c u r u kw a$,default,,34039
Bantawa-350_theson-1,34041,Bantawa,350_theson,duwacʰa,duwacʰa,d u w a cʰ a,,Jongens2009,,,^d u w a cʰ a$,default,,34041
Bantawa-352_thespider-1,34042,Bantawa,352_thespider,yagʰaŋma,yagʰaŋma,y a gʰ a ŋ m a,,Jongens2009,,,^y a gʰ a ŋ m a$,default,,34042
Bantawa-200_thestar-1,34045,Bantawa,200_thestar,saŋken,saŋken,s a ŋ k e n,,Jongens2009,,,^s a ŋ k e n$,default,,34045
Bantawa-203_thestoneapieceof-1,34047,Bantawa,203_thestoneapieceof,luŋ,luŋ,l u ŋ,,Jongens2009,,,^l u ŋ$,default,,34047
Bantawa-205_thesun-1,34050,Bantawa,205_thesun,nam,nam,n a m,,Jongens2009,,,^n a m$,default,,34050
Bantawa-206_thetail-1,34051,Bantawa,206_thetail,miri,miri,m i r i,,Jongens2009,,,^m i r i$,default,,34051
Bantawa-354_thethigh-1,34055,Bantawa,354_thethigh,dʰilaŋ,dʰilaŋ,dʱ i l a ŋ,,Jongens2009,,,^dʰ i l a ŋ$,default,,34055
Bantawa-218_thethunder-1,34063,Bantawa,218_thethunder,kuluŋdippa,kuluŋdippa,k u l u ŋ d i p p a,,Jongens2009,,,^k u l u ŋ d i pp a$,default,,34063
Bantawa-219_thetiger-1,34064,Bantawa,219_thetiger,dʰinara,dʰinara,dʱ i n a r a,,Jongens2009,,,^dʰ i n a r a$,default,,34064
Bantawa-355_thetongue-1,34067,Bantawa,355_thetongue,lem,lem,l e m,,Jongens2009,,,^l e m$,default,,34067
Bantawa-356_thetoothfront-1,34068,Bantawa,356_thetoothfront,kɨŋ,kɨŋ,k ɨ ŋ,,Jongens2009,,,^k ɨ ŋ$,default,,34068
Bantawa-224_thetree-1,34069,Bantawa,224_thetree,sɨŋ,sɨŋ,s ɨ ŋ,,Jongens2009,,,^s ɨ ŋ$,default,,34069
Bantawa-229_thewater-1,34073,Bantawa,229_thewater,cakwa,cakwa,c a kʷ a,,Jongens2009,,,^c a kw a$,default,,34073
Bantawa-357_thewheat-1,34078,Bantawa,357_thewheat,tɨcʰoŋ,tɨcʰoŋ,t ɨ cʰ o ŋ,,Jongens2009,,,^t ɨ cʰ o ŋ$,default,,34078
Bantawa-237_thewife-1,34082,Bantawa,237_thewife,masɨng,masɨng,m a s ɨ n g,,Jongens2009,,,^m a s ɨ n g$,default,,34082
Bantawa-238_thewind-1,34083,Bantawa,238_thewind,hɨk,hɨk,h ɨ k,,Jongens2009,,,^h ɨ k$,default,,34083
Bantawa-358_thewing-1,34084,Bantawa,358_thewing,lap,lap,l a p,,Jongens2009,,,^l a p$,default,,34084
Bantawa-242_thewoman-1,34086,Bantawa,242_thewoman,ma,ma,m a,,Jongens2009,,,^m a$,default,,34086
Bantawa-243_thewoodmaterial-1,34087,Bantawa,243_thewoodmaterial,sɨŋ,sɨŋ,s ɨ ŋ,,Jongens2009,,,^s ɨ ŋ$,default,,34087
Bantawa-361_theyear-1,34088,Bantawa,361_theyear,doŋ,doŋ,d o ŋ,,Jongens2009,,,^d o ŋ$,default,,34088
Bantawa-362_there-1,34054,Bantawa,362_there,moyu,moyu,m o y u,,Jongens2009,,,^m o y u$,default,,34054
Bantawa-364_thin-1,34056,Bantawa,364_thin,yunma (yunta),yunma (yunta),y u n m a + y u n t a,,Jongens2009,,,^y u n m a + ( y u n t a ) $,default,,34056
Bantawa-367_this-1,34058,Bantawa,367_this,oko,oko,o k o,,Jongens2009,,,^o k o$,default,,34058
Bantawa-215_thousecondpersonsingular-1,34059,Bantawa,215_thousecondpersonsingular,kʰana,kʰana,kʰ a n a,,Jongens2009,,,^kʰ a n a$,default,,34059
Bantawa-216_three-1,34060,Bantawa,216_three,sum-ka,sum-ka,s u m + k a,,Jongens2009,,,^s u m - k a$,default,,34060
Bantawa-368_tobealive-1,33863,Bantawa,368_tobealive,hɨŋma,hɨŋma,h ɨ ŋ m a,,Jongens2009,,,^h ɨ ŋ m a$,default,,33863
Bantawa-369_tobite-1,33869,Bantawa,369_tobite,ŋekma,ŋekma,ŋ e k m a,,Jongens2009,,,^ŋ e k m a$,default,,33869
Bantawa-16_toblowofwind-1,33872,Bantawa,16_toblowofwind,banma (bana),banma (bana),b a n m a + b a n a,,Jongens2009,,,^b a n m a + ( b a n a ) $,default,,33872
